index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
483,Реликт. Пояс Скорби, Андрей Дай,4.3,91,4.4,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Реликт. Пояс Скорби - Андрей Дай.txt
484,Демон Чернокнижник, Игорь Гергардович Гардер,4.1,46,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Демон Чернокнижник - Игорь Гергардович Гардер.txt
485,КвазаРазмерность. Книга 2, Виталий Вавикин,4.5,58,4.5,4764,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/КвазаРазмерность. Книга 2 - Виталий Вавикин.txt
486,Ездовой Гном. Захребетье [СИ], Михаил Владимирович Уткин,4.6,97,4.4,13,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ездовой Гном. Захребетье [СИ] - Михаил Владимирович Уткин.txt
487,Гоночный Джокер. Старт, Константин Назимов,3.8,31,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гоночный Джокер. Старт - Константин Назимов.txt
488,Обитаемый остров, Аркадий Стругацкий & Борис Стругацкий,4.8,544,4.4,6754,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Обитаемый остров - Аркадий Стругацкий & Борис Стругацкий.txt
489,Рахнийские войны. Вторжение Рахни книга 3 (СИ), Д,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Рахнийские войны. Вторжение Рахни книга 3 (СИ) - Д. К. Баймышев.txt
490,Тропа Шамана. Изгиб 6. Мы пойдём другим путём, Петр Сковорода,4.3,10,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тропа Шамана. Изгиб 6. Мы пойдём другим путём - Петр Сковорода.txt
491,Одно задание из_. (Воспоминания разведчика), Димыч Дим,4.8,5,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Одно задание из_. (Воспоминания разведчика) - Димыч Дим.txt
492,По имени Феникс. Дилогия, Максим Грек (СИ),5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/По имени Феникс. Дилогия - Максим Грек (СИ).txt
493,Возвращение, Влад Поляков & Михаил Михайлов,4.5,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/03 Возвращение домой. - Прочерк Игорь Анатольевич.txt
494,Демон Разума, Иван Шаман,3.8,353,4.6,7,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Демон Разума - Иван Шаман.txt
495,Level Up. Нокаут, Данияр Саматович Сугралинов & Максим Александрович Лагно,4.3,24,4.6,29,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Level Up. Нокаут - Данияр Саматович Сугралинов & Максим Александрович Лагно.txt
496,Перешагнуть пропасть, Константин Николаевич Муравьев,4.3,109,3.9,57,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Перешагнуть пропасть - Константин Николаевич Муравьев.txt
497,Муравьиная Ферма. Книга Первая., Рома Власов,5.0,3,2.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Муравьиная Ферма. Книга Первая. - Рома Власов.txt
498,Дитё. Посредник, Владимир Геннадьевич Поселягин,3.8,131,3.4,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дитё. Посредник - Владимир Геннадьевич Поселягин.txt
499,Михайлов. Стервятник. Книга 1, Master,5.0,1205,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Михайлов. Стервятник. Книга 1 - Master.txt
500,Замок волшебника. Книга 2. Часть 1, Кирилл Коваль,5.0,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Замок волшебника. Книга 2. Часть 1 - Кирилл Коваль.txt
501,Временщик, Дмитрий Билик,4.5,279,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Временщик - Дмитрий Билик.txt
502,Проклятие нуба, Серж Винтеркей,4.9,1259,4.3,22,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Проклятие нуба - Серж Винтеркей.txt
503,Затерянные среди звёзд, Александр Анатольевич Берг,4.1,20,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Затерянные среди звёзд - Александр Анатольевич Берг.txt
504,Мир Царя зверей. На полную мощность, Антон Емельянов & Сергей Савинов,4.4,21,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир Царя зверей. На полную мощность - Антон Емельянов & Сергей Савинов.txt
505,Катарсис. Том 2, Василий Головачёв,3.8,67,2.4,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Катарсис. Том 2 - Василий Головачёв.txt
506,Жестокая игра. Смерть, Павел Коршунов,4.7,492,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жестокая игра. Смерть - Павел Коршунов.txt
507,Зависть (сборник), Юрий Карлович Олеша,4.0,13,4.0,114,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Зависть (сборник) - Юрий Карлович Олеша.txt
508,СКАЙРОК. Воздаяние паранормов, Алекс Нагорный,3.3,87,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/СКАЙРОК. Воздаяние паранормов - Алекс Нагорный.txt
509,Возвращение домой, Милослав Князев,4.3,167,4.0,42,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Возвращение домой - Милослав Князев.txt
510,Конвойник, Виктория Гетто,4.5,107,3.5,13,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Конвойник - Виктория Гетто.txt
511,Письма русского путешественника, Николай Михайлович Карамзин,5.0,328,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Письма русского путешественника - Николай Михайлович Карамзин.txt
512,Война Ассасина, Андрей Лавин,4.2,202,3.5,39,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война Ассасина - Андрей Лавин.txt
513,Последний Выживший. Том 2, Грек Максим,2.7,8,1.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последний Выживший. Том 2 - Грек Максим.txt
514,Церковно,народный месяцеслов на Руси,4.7,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Церковно-народный месяцеслов на Руси - И. П. Калинский.txt
515,Файролл. Два огня, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Два огня - Андрей Васильев.txt
516,Серый, Константин Николаевич Муравьев,4.5,206,3.9,84,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Битва за Порог. Серый - Павел Вяч.txt
517,Попадос,5,4.1,29,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Попадос 1 - Sunmen.txt
518,Игра 2. Шаг назад., Игорь Даждев,4.6,488,4.5,9661,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра 2. Шаг назад. - Игорь Даждев.txt
519,Астральщик. Том 1, Анджей Ясинский,4.5,236,4.4,143,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Астральщик. Том 1 - Анджей Ясинский.txt
520,Город древних, Константин Николаевич Муравьев,4.3,109,3.9,57,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Город древних - Константин Николаевич Муравьев.txt
521,Игра теней, Николай Трой,4.4,60,3.6,37,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра теней - Николай Трой.txt
522,Дело Черного Мага. Том 2, Кирилл Сергеевич Клеванский,4.5,85,4.3,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дело Черного Мага. Том 2 - Кирилл Сергеевич Клеванский.txt
523,Многорукий бог Далайна. Свет в окошке, Святослав Логинов,4.9,186,4.5,76,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Многорукий бог Далайна. Свет в окошке - Святослав Логинов.txt
524,Монстр 2. Улей, Сергей Бельский,4.7,172,4.3,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Монстр 2. Улей - Сергей Бельский.txt
525,Охота на ликвидатора, Сергей Раткевич,None,None,4.3,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охота на ликвидатора - Сергей Раткевич.txt
526,Битва за Порог. Тяж [СИ], Павел Вяч,4.4,15,4.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Битва за Порог. Тяж [СИ] - Павел Вяч.txt
527,Скайвэй, Алекс Нагорный,3.6,196,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Скайвэй - Алекс Нагорный.txt
528,Мир измененных. Книга 1_ Без права на ошибку, Василий Маханенко,4.3,182,3.5,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир измененных. Книга 1_ Без права на ошибку - Василий Маханенко.txt
529,Мир Катаклизма. Новый цвет магии, Антон Огнев,4.0,7,4.4,75,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мир Катаклизма. Новый цвет магии - Антон Огнев.txt
530,ОРИЯ, Андрей Валентинов,5.0,46,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/ОРИЯ - Андрей Валентинов.txt
531,Боевой Жрец. Безумный легион, Алексей Александров,4.8,20,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Боевой Жрец. Безумный легион - Алексей Александров.txt
532,Свой замок, Милослав Князев,4.5,237,4.0,90,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свой замок - Милослав Князев.txt
533,Мертвяк и снайпер, Антон Емельянов & Сергей Савинов,4.5,34,3.7,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мертвяк и снайпер - Антон Емельянов & Сергей Савинов.txt
534,Тактик, Али Алиев,4.5,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тактик - Али Алиев.txt
535,Худший из миров. Книга 2, Валерий Иванович Софроний,4.3,193,3.7,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Худший из миров. Книга 2 - Валерий Иванович Софроний.txt
536,Конструирующий, Павел Абсолют,4.4,80,4.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Конструирующий - Павел Абсолют.txt
537,Инженер-лейтенант,Юрий Корнеев,3.6,281,3.2,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Инженер-лейтенант - Юрий Корнеев.txt
538,Мрачность _1, Элиан Тарс,4.6,478,4.0,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мрачность _1 - Элиан Тарс.txt
539,"Мне нравится, что Вы больны не мной… (сборник) ", Марина Ивановна Цветаева,4.6,76,4.7,31,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мне нравится, что Вы больны не мной… (сборник) - Марина Ивановна Цветаева.txt"
540,Выбраковка. Ночной смотрящий, Олег Дивов,4.6,113,4.3,149,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Выбраковка. Ночной смотрящий - Олег Дивов.txt
541,Эрта_ Армия Акана, Николай Побережник,4.5,74,4.2,14,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эрта_ Армия Акана - Николай Побережник.txt
542,Апатрид. Книга 1, Евгений Борисович Коваленко,4.0,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Апатрид. Книга 1 - Евгений Борисович Коваленко.txt
543,Иеремия Симсон. Охотник на человеков, Тимур Сабаев,4.4,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иеремия Симсон. Охотник на человеков - Тимур Сабаев.txt
544,Война и мир. Книга 1, Лев Николаевич Толстой,4.2,271,4.3,3080,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война и мир. Книга 1 - Лев Николаевич Толстой.txt
545,Танатос. МТА, Владимир Атомный,4.5,2,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Танатос. МТА - Владимир Атомный.txt
546,Царь зверей 8. Пробуждение, Антон Емельянов & Сергей Савинов,4.8,145,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Царь зверей 8. Пробуждение - Антон Емельянов & Сергей Савинов.txt
547,Персонаж, Дмитрий Морозов,4.3,10,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Персонаж - Дмитрий Морозов.txt
548,Флаг-офицер, Алекс Каменев,3.0,2,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Флаг-офицер. Макс Вольф Книга 3 (СИ) - Алекс Каменев.txt
549,Петербургские трущобы. Том 2, Всеволод Владимирович Крестовский,4.7,149,4.3,305,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Петербургские трущобы. Том 2 - Всеволод Владимирович Крестовский.txt
550,Княжий пир, Юрий Никитин,4.4,13,4.2,59,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Княжий пир - Юрий Никитин.txt
551,Охота на Паука, Сергей Возный,5.0,2,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охота на Паука - Сергей Возный.txt
552,Репродукты Хаоса, Дан Лебэл,4.5,85,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Репродукты Хаоса - Дан Лебэл.txt
553,Перерожденные и иже с ними. Становление. Книга вторая. Часть 1, Евгений Синтезов,3.9,130,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Перерожденные и иже с ними. Становление. Книга вторая. Часть 1 - Евгений Синтезов.txt
554,Император по случаю. Книга вторая, Юрий Николаевич Москаленко,3.9,269,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Император по случаю. Книга вторая - Юрий Николаевич Москаленко.txt
555,Третий не лишний, Степан Кулик,4.6,17,3.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Третий не лишний - Степан Кулик.txt
556,Рахнийские войны. Привет из прошлого книга 2 (СИ), Д,5.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Рахнийские войны. Привет из прошлого книга 2 (СИ) - Д. К. Баймышев.txt
