index,title,author,litres mark,litres votes,livelib mark,livelib votes,path
1013,Витязь. Замок людоеда, Степан Кулик,4.9,148,5.0,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Витязь. Замок людоеда - Степан Кулик.txt
1014,"Охотник. Куда вас, сударь… занесло_ ", Хайдарали Усманов,4.4,989,4.0,1992,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охотник. Куда вас, сударь… занесло_ - Хайдарали Усманов.txt"
1015,Zelda. Книга о новых героях, Никита Балашов,4.0,211,3.5,352,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Zelda. Книга о новых героях - Никита Балашов.txt
1016,Макар Чудра и многое другое…, Максим Горький,4.8,25,3.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Макар Чудра и многое другое… - Максим Горький.txt
1017,Прекрасный новый мир. Начало (СИ), Рэд Шухов,4.5,198,4.3,140,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прекрасный новый мир. Начало (СИ) - Рэд Шухов.txt
1018,Жестокая игра. Жизнь, Павел Коршунов,4.7,492,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жестокая игра. Жизнь - Павел Коршунов.txt
1019,Наказан играть 3, Евгений Александрович Осьминожкин,4.0,26,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Наказан играть 3 - Евгений Александрович Осьминожкин.txt
1020,Меняющийся Мир. Быстрое Течение, Сергей Кац,4.9,31,4.3,21,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Меняющийся Мир. Быстрое Течение - Сергей Кац.txt
1021,Защита Периметра. Через смерть, Михаил Атаманов,4.9,478,4.5,153,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Защита Периметра. Через смерть - Михаил Атаманов.txt
1022,Жестокая игра. Книга 4. Тень войны, Павел Борисович Коршунов,4.7,492,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жестокая игра. Книга 4. Тень войны - Павел Борисович Коршунов.txt
1023,Дар. Общий файл v1.4 pre,release,4.7,401,4.6,3495,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дар. Общий файл v1.4 pre-release - Алексеев Максим.txt
1024,Иван Грозный. Том 1, Валентин Иванович Костылев,4.1,230,4.1,30,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иван Грозный. Том 1 - Валентин Иванович Костылев.txt
1025,Земли меча и магии. Друид, Владимир Михайлович Мясоедов,3.9,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Земли меча и магии. Друид - Владимир Михайлович Мясоедов.txt
1026,Война магии. Том первый. Часть первая, Николай Раздоров,4.8,35,4.6,224,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война магии. Том первый. Часть первая - Николай Раздоров.txt
1027,Великая Миссия, Милослав Князев,4.4,433,3.7,135,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Великая Миссия - Милослав Князев.txt
1028,Дитё. Двойной удар, Владимир Геннадьевич Поселягин,3.8,131,3.4,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дитё. Двойной удар - Владимир Геннадьевич Поселягин.txt
1029,Эскул. Небытие_ Варрагон (СИ), Андрей Респов,4.9,19,4.5,29,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эскул. Небытие_ Варрагон (СИ) - Андрей Респов.txt
1030,Дизель решает всё, Михаил Маришин,4.8,12,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дизель решает всё - Михаил Маришин.txt
1031,Игра не ради игры, Андрей Васильев,4.6,1592,4.2,351,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игра не ради игры - Андрей Васильев.txt
1032,Восьмой уровень, Дмитрий Серебряков,4.2,136,3.9,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Восьмой уровень - Дмитрий Серебряков.txt
1033,Долг корсара. Книга 2. В поисках манускрипта, Игорь Нокс,4.8,49,5.0,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Долг корсара. Книга 2. В поисках манускрипта - Игорь Нокс.txt
1034,В зеркале, Варлам Тихонович Шаламов,5.0,7,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/В зеркале - Варлам Тихонович Шаламов.txt
1035,Не лидер, Плотников Сергей,4.4,55,3.5,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Не лидер - Плотников Сергей.txt
1036,Безграничный Мир. Серые., S1,4.3,255,3.7,68,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Безграничный Мир. Серые. - S1.txt
1037,Один из демонов, Альтс Геймер,3.8,4,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Один из демонов - Альтс Геймер.txt
1038,Белый пудель. Лучшие повести и рассказы о животных (сборник), лович Пришвин & Борис Степанович Житков & Юрий Павлович Казаков,4.1,10,4.4,708,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Белый пудель. Лучшие повести и рассказы о животных (сборник) - лович Пришвин & Борис Степанович Житков & Юрий Павлович Казаков.txt
1039,С тенью в душе, Ярослав Коваль,4.3,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/С тенью в душе - Ярослав Коваль.txt
1040,Книга третья. Гибель химеры, Аноним Vizivul,4.7,666,4.3,816,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Книга третья. Гибель химеры - Аноним Vizivul.txt
1041,Преторианец. Начало Книга 1, Д,4.1,46,4.0,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Преторианец. Начало Книга 1 - Д. К. Баймышев & Баймышев Д.к_.txt
1042,Превосходство, Дмитрий Морозов,3.4,11,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Превосходство - Дмитрий Морозов.txt
1043,Последняя петля 6. Старая империя, Антон Емельянов и Сергей Савинов,4.5,48,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последняя петля 6. Старая империя - Антон Емельянов и Сергей Савинов.txt
1044,Ассасин. Возвращение, Дмитрий Сергеевич Кружевский,4.6,782,3.9,670,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ассасин. Возвращение - Дмитрий Сергеевич Кружевский.txt
1045,Архи-Vr, Анна Завадская,4.4,16,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Завадская. Архи-Vr. Книга 1 - Анна Завадская.txt
1046,Прокачаться до живого 2, Андрей Владимирович Дмитриев,4.8,14,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прокачаться до живого 2 - Андрей Владимирович Дмитриев.txt
1047,Через тернии к_. звёздам, Жрец,4.8,39,4.3,24,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Через тернии к_. звёздам - Жрец.txt
1048,Пираты Драконьих островов, Милослав Князев,4.4,128,3.8,32,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Пираты Драконьих островов - Милослав Князев.txt
1049,Живая игра_ Вход, Андрей Сергеевцев,3.7,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Живая игра_ Вход - Андрей Сергеевцев.txt
1050,Прогрессор поневоле., Сергей Георгиевич Обатуров,3.8,7,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Прогрессор поневоле. - Сергей Георгиевич Обатуров.txt
1051,Тени снов, Сергей Васильевич Лукьяненко,4.2,23,3.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тени снов - Сергей Васильевич Лукьяненко.txt
1052,Монстр 4. Тёмный Океан, Сергей Бельский,4.7,86,4.4,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Монстр 4. Тёмный Океан - Сергей Бельский.txt
1053,Император по случаю. Книга пятая. Часть третья, Юрий Николаевич Москаленко,3.9,269,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Император по случаю. Книга пятая. Часть третья - Юрий Николаевич Москаленко.txt
1054,Контакт. Новая эпоха, Никита Семин,4.5,69,4.3,756,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Контакт. Новая эпоха - Никита Семин.txt
1055,Чип Блейза. Статус, Элиан Тарс,4.6,61,3.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Чип Блейза. Статус - Элиан Тарс.txt
1056,В бой идут_., Вадим Николаевич Нестеров,4.6,177,4.5,54,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/В бой идут_. - Вадим Николаевич Нестеров.txt
1057,"Емельян Пугачев, т.2 ", Вячеслав Яковлевич Шишков,4.9,45,4.0,1,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Емельян Пугачев, т.2 - Вячеслав Яковлевич Шишков.txt"
1058,Поднятая целина, Михаил Шолохов,4.7,206,4.4,2354,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Поднятая целина - Михаил Шолохов.txt
1059,Дикарь. Часть 3. Гости, Хайдарали Усманов,4.8,3955,4.3,856,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дикарь. Часть 3. Гости - Хайдарали Усманов.txt
1060,Свой дом. Дилогия, Семён Викторович Иванов,4.0,22,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свой дом. Дилогия - Семён Викторович Иванов.txt
1061,Кровавый Эльф. Книга 2, АриТорв,4.5,2,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кровавый Эльф. Книга 2 - АриТорв.txt
1062,Экспансия, Николай Басов,4.6,9,3.7,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дневники магов - Часть 2 - Гильдия. Экспансия - Серый Даниил.txt
1063,Война Теней, Николай Трой,4.6,62,3.6,19,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Война Теней - Николай Трой.txt
1064,Падение Предела, Эрик Ниланд,4.2,48,4.2,64,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Падение Предела - Эрик Ниланд.txt
1065,Последний храм. Наследник, Богданов Арт,4.5,80,3.0,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последний храм. Наследник - Богданов Арт.txt
1066,Власть демиурга, Юрий Львович Киселев,4.0,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Власть демиурга - Юрий Львович Киселев.txt
1067,Проект Данте. Смертельное сафари, Сергей Извольский,4.5,1550,4.3,243,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Проект Данте. Смертельное сафари - Сергей Извольский.txt
1068,Черным по белому, Макар Ютин,4.2,25,3.8,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Черным по белому - Макар Ютин.txt
1069,Джим. Возрождение Империи, Евгений Катрич,4.2,1116,4.2,1038,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Джим. Возрождение Империи - Евгений Катрич.txt
1070,Странник. Новый Дом, Иван Юрьевич Власов,4.4,443,4.2,189,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Странник. Новый Дом - Иван Юрьевич Власов.txt
1071,Шустрый. Рождение воина, Алексей Михайлович Трефилов,3.8,51,3.2,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Шустрый. Рождение воина - Алексей Михайлович Трефилов.txt
1072,Свой дом. Обретение, Семён Викторович Иванов,4.0,22,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Свой дом. Обретение - Семён Викторович Иванов.txt
1073,Сборник _Дневник Сатаны_, Леонид Николаевич Андреев,4.1,64,4.2,36,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сборник _Дневник Сатаны_ - Леонид Николаевич Андреев.txt
1074,Игрун. Дилогия (СИ), Константин Читатель,5.0,2,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игрун. Дилогия (СИ) - Константин Читатель.txt
1075,Вы призвали не того_. Книга 8. Том 1, Тимур Аскарович Айтбаев,4.5,102,4.4,1934,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вы призвали не того_. Книга 8. Том 1 - Тимур Аскарович Айтбаев.txt
1076,Император по случаю. Книга четвертая, Юрий Николаевич Москаленко,3.9,269,3.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Император по случаю. Книга четвертая - Юрий Николаевич Москаленко.txt
1077,Девятый уровень. Часть первая, Дмитрий Dmitro Серебряков,4.8,59,4.4,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Девятый уровень. Часть первая - Дмитрий Dmitro Серебряков.txt
1078,Последняя петля, Сергей Савинов & Антон Емельянов,4.4,176,4.2,31,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Последняя петля - Сергей Савинов & Антон Емельянов.txt
1079,Дровосек 2. Дорога к славе., Михаил Б,3.8,4,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Дровосек 2. Дорога к славе. - Михаил Б.txt
1080,Отрицательный рейтинг, Александр Мазин,4.7,562,4.3,21,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Отрицательный рейтинг - Александр Мазин.txt
1081,Вий. Рассказы о вирт-реальности, Юрий Молчан,4.9,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вий. Рассказы о вирт-реальности - Юрий Молчан.txt
1082,Кингчесс, Сергей Ткачев,4.7,63,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кингчесс - Сергей Ткачев.txt
1083,Иностранец. Тернистый путь, Игорь Витальевич Шелег,4.6,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Иностранец. Тернистый путь - Игорь Витальевич Шелег.txt
1084,Некомант 4, Сергей Геннадьевич Кириллов,4.8,9,4.9,6,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Некомант 4 - Сергей Геннадьевич Кириллов.txt
1085,Магия невозможного, Антон Волк,4.0,8,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Магия невозможного - Антон Волк.txt
1086,Слепой музыкант (сборник), Владимир Галактионович Короленко,4.5,16,4.6,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Слепой музыкант (сборник) - Владимир Галактионович Короленко.txt
1087,Осколки клана. Том 1, Александр Игоревич Шапочкин & Алексей Викторович Широков,4.4,62,3.8,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Осколки клана. Том 1 - Александр Игоревич Шапочкин & Алексей Викторович Широков.txt
1088,Противостояние. Книга первая, Тайниковский,4.6,1710,4.5,7249,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Противостояние. Книга первая - Тайниковский.txt
1089,Черный Баламут, Генри Лайон Олди,4.7,61,4.3,19,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Черный Баламут - Генри Лайон Олди.txt
1090,Капитан Ульдемир, Владимир Михайлов,4.5,20,4.4,16,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Капитан Ульдемир - Владимир Михайлов.txt
1091,Жрец. Свиток Третий, Иван Алексеевич Снежный,4.3,4,4.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жрец. Свиток Третий - Иван Алексеевич Снежный.txt
1092,Нужна свободная планета, Кир Булычев,4.7,14,4.5,34,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Нужна свободная планета - Кир Булычев.txt
1093,Жестокая игра. Древние боги. Том 1, Павел Борисович Коршунов,4.7,492,4.5,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жестокая игра. Древние боги. Том 1 - Павел Борисович Коршунов.txt
1094,Акт 1. Карнавал, Сергей Сергеевич Ткачёв,4.6,37,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Акт 1. Карнавал - Сергей Сергеевич Ткачёв.txt
1095,Восьмой Уровень. Часть третья., Дмитрий Серебряков,4.2,136,3.9,33,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Восьмой Уровень. Часть третья. - Дмитрий Серебряков.txt
1096,Худший из миров. Книга 5, Валерий Иванович Софроний,4.3,193,3.7,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Худший из миров. Книга 5 - Валерий Иванович Софроний.txt
1097,Новое Начало. Книга вторая, Алексей Анонимов,4.4,327,4.6,110,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новое Начало. Книга вторая - Алексей Анонимов.txt
1098,Акулов. Чистилище, Неизвестный,4.6,21,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Акулов. Чистилище - Неизвестный.txt
1099,Идиот, Федор Михайлович Достоевский,4.3,134,4.5,30573,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Идиот - Федор Михайлович Достоевский.txt
1100,Целитель. Пришельцы и сокровища, Сергей Александрович Богдашов,4.6,109,2.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Целитель. Пришельцы и сокровища - Сергей Александрович Богдашов.txt
1101,Путь Шамана. Гамбит Картоса, Василий Маханенко,4.7,854,4.3,376,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Путь Шамана. Гамбит Картоса - Василий Маханенко.txt
1102,Армада, Эрнест Клайн,4.7,4264,4.5,7145,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Армада - Эрнест Клайн.txt
1103,Неучтённый, Константин Николаевич Муравьев,4.3,363,3.6,57,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Неучтённый - Константин Николаевич Муравьев.txt
1104,PSO 2. Древний Храм, Нил Алмазов,4.5,4,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/PSO 2. Древний Храм - Нил Алмазов.txt
1105,Я из будущего, Владимир Геннадьевич Поселягин,4.1,232,3.6,15,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Я из будущего - Владимир Геннадьевич Поселягин.txt
1106,Братья Карамазовы, Федор Михайлович Достоевский,4.6,1489,4.2,13 742,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Братья Карамазовы - Федор Михайлович Достоевский.txt
1107,Чертов данж, Серж Винтеркей,4.8,1786,4.1,40,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Чертов данж - Серж Винтеркей.txt
1108,Гражданин, Сергей Залевский,1.7,37,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гражданин - Сергей Залевский.txt
1109,Квазар. Демонический бог. Том 3,й,5.0,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Квазар. Демонический бог. Том 3-й. - Антон Тутынин.txt
1110,Infinitum. Начало, Артур Сокол,4.5,4,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Infinitum. Начало - Артур Сокол.txt
1111,Теперь я стеллинг!, Катэр Вэй,3.9,7,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Теперь я стеллинг! - Катэр Вэй.txt
1112,Эпоха Войн. Том 4, Максим Грек,4.1,1033,4.5,391,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Эпоха Войн. Том 4 - Максим Грек.txt
1113,Вторжение, Василий Маханенко,4.7,235,4.4,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вторжение - Василий Маханенко.txt
1114,Ученье – свет!, Яна Алексеева,5.0,3,3.9,389,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ученье – свет! - Яна Алексеева.txt
1115,Ледяной дом. Басурман, Иван Иванович Лажечников,4.7,51,4.1,482,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ледяной дом. Басурман - Иван Иванович Лажечников.txt
1116,Защита Периметра. Восьмой сектор, Михаил Атаманов,4.9,478,4.5,153,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Защита Периметра. Восьмой сектор - Михаил Атаманов.txt
1117,Слово и Чистота_ Иллюзия, Александр Зайцев,4.5,77,3.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Слово и Чистота_ Иллюзия - Александр Зайцев.txt
1118,Заветные русские сказки, Александр Николаевич Афанасьев,4.2,91,4.2,1143,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Заветные русские сказки - Александр Николаевич Афанасьев.txt
1119,В глубине Великого Кристалла. Том 2_ [сборник], Владислав Крапивин,4.3,10,5.0,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/В глубине Великого Кристалла. Том 2_ [сборник] - Владислав Крапивин.txt
1120,Гильдия. (Том 3), Евгений Бергер,4.5,522,4.3,160,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Гильдия. (Том 3) - Евгений Бергер.txt
1121,Альвен.Тёмная сущность, Евгений Сай,5.0,1,5.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Альвен.Тёмная сущность - Евгений Сай.txt
1122,Восхождение, Карина Вран,4.8,22,4.0,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Восхождение - Карина Вран.txt
1123,Господа Головлевы, Михаил Евграфович Салтыков,4.7,30,4.4,4143,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Господа Головлевы - Михаил Евграфович Салтыков-Щедрин.txt
1124,Акс. Кровавый Турнир, Павел Юрьевич Перовский,4.5,269,4.3,685,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Акс. Кровавый Турнир - Павел Юрьевич Перовский.txt
1125,Кому на Руси жить хорошо, Николай Алексеевич Некрасов,5.0,1,4.3,8,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Кому на Руси жить хорошо - Николай Алексеевич Некрасов.txt
1126,Грешники. Книга 1. Корпорация _Кольцо_, Александр Александрович Чубарьян,4.1,97,3.8,125,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Грешники. Книга 1. Корпорация _Кольцо_ - Александр Александрович Чубарьян.txt
1127,Рисс-2, Дрешпак Максим,4.4,3,4.0,1,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Рисс-2. Долина Стихий - Дрешпак Максим.txt
1128,Тени Великого леса, Георгий Георгиевич Смородинский,4.8,544,4.3,196,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Тени Великого леса - Георгий Георгиевич Смородинский.txt
1129,Во имя Империи!, Виктория Гетто & Александр Михайлович Авраменко,4.1,38,2.7,3,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Во имя Империи! - Виктория Гетто & Александр Михайлович Авраменко.txt
1130,Принцесса ботов, Александр Ковган,4.7,6,4.0,2,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Принцесса ботов - Александр Ковган.txt
1131,"Толлеус, искусник из Кордоса ", Анджей Ясинский & Дмитрий Александрович Коркин,4.2,71,4.2,45,"/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Толлеус, искусник из Кордоса - Анджей Ясинский & Дмитрий Александрович Коркин.txt"
1132,Комаров. Игра и Мир, Неизвестный,4.5,1285,4.5,664,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Комаров. Игра и Мир - Неизвестный.txt
1133,Игры теней, Ерофей Трофимов,4.4,73,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Игры теней - Ерофей Трофимов.txt
1134,История кривого билда_ Баф,машина,4.4,18,4.3,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/История кривого билда_ Баф-машина - Сергей Вишневский.txt
1135,Ходячее сокровище, Артем Каменистый,4.7,1046,4.4,126,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ходячее сокровище - Артем Каменистый.txt
1136,Файролл. Разные стороны, Андрей Васильев,4.8,965,4.3,62,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Файролл. Разные стороны - Андрей Васильев.txt
1137,Лабиринт на орбите 2, Сергей Залевский,3.7,11,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Лабиринт на орбите 2 - Сергей Залевский.txt
1138,Видящий-2,"Валерий Пылаев,4","8""",1087,4.3,106,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Видящий-2. Тэн - Валерий Пылаев.txt
1139,Матрица постапокалипсиса, Соломон Фенрир,4.1,53,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Матрица постапокалипсиса - Соломон Фенрир.txt
1140,Охотник. Главное выжить, Хайдарали Мирзоевич Усманов,4.4,989,4.0,1992,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Охотник. Главное выжить - Хайдарали Мирзоевич Усманов.txt
1141,Штрафбат магического мира, Дмитрий Морозов,4.5,78,4.0,9,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Штрафбат магического мира - Дмитрий Морозов.txt
1142,Боец. Гонка Героев, Роман Добрый,4.4,66,3.8,10,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Боец. Гонка Героев - Роман Добрый.txt
1143,Вы призвали не того_. Книга 4. Оскал Тьмы (СИ), Тимур Аскарович Айтбаев,4.5,102,4.4,1934,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Вы призвали не того_. Книга 4. Оскал Тьмы (СИ) - Тимур Аскарович Айтбаев.txt
1144,В шкуре демона, Иван Лагунин,4.7,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/В шкуре демона - Иван Лагунин.txt
1145,Боевая пирамида, Алексей Юрьевич Кудряшов,4.7,3,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Боевая пирамида - Алексей Юрьевич Кудряшов.txt
1146,Союз проклятых, Алекс Кош,4.7,394,4.4,109,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Союз проклятых - Алекс Кош.txt
1147,Код Лавакрона, Альтс Геймер,4.0,1,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Код Лавакрона - Альтс Геймер.txt
1148,Мрачность _4. Колыбель Богов, Элиан Тарс,4.6,80,4.1,11,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Мрачность _4. Колыбель Богов - Элиан Тарс.txt
1149,Новая жизнь. Война, Дмитрий Серебряков,4.8,2168,4.3,1117,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Новая жизнь. Война - Дмитрий Серебряков.txt
1150,На чужих рубежах. Посев, Александр Игоревич Шапочкин,4.3,1560,4.4,245,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/На чужих рубежах. Посев - Александр Игоревич Шапочкин.txt
1151,Шагнувший в небо, Дмитрий Даль,4.0,9,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Шагнувший в небо - Дмитрий Даль.txt
1152,Сталью и магией, Антон Лисицын,4.2,58,3.2,43,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Сталью и магией - Антон Лисицын.txt
1153,Шахматы богов, Сергей Сергеевич Ткачёв,4.5,99,3.3,4,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Шахматы богов - башня - Сергей Сергеевич Ткачёв.txt
1154,Жизнь игра. Том 2, Ринат Камильевич Назипов,4.1,252,4.1,3197,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Жизнь игра. Том 2 - Ринат Камильевич Назипов.txt
1155,Ступень 5. Бегство в Эдем, Юрий Л Киселев,4.6,5006,4.3,3528,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ступень 5. Бегство в Эдем - Юрий Л Киселев.txt
1156,Ревизор (Сборник), Николай Васильевич Гоголь,4.4,5,4.2,263,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ревизор (Сборник) - Николай Васильевич Гоголь.txt
1157,Ключ темных, Евгений Катрич,4.8,17,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Ключ темных - Евгений Катрич.txt
1158,Синдром защитника, Владимир Кельт,4.3,41,4.4,5,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/Синдром защитника - Владимир Кельт.txt
1159,книга Эксперт. Гремящие пески (книга 3), Meleor,4.9,6,None,None,/Users/apotekhin/repositories/literary-predictor/src/corpus txt/книга Эксперт. Гремящие пески (книга 3) - Meleor.txt
